NPI,NDC,Units,UnitCost
1,4060,13,387.99
8,1036,1879,69.32
6,4277,2154,479.58
7,4477,1490,417.39
2,2409,2985,98.13
8,2616,312,112.66
7,1178,2867,14.13
5,2465,2983,341.63
3,372,2988,317.63
8,1230,210,125.19
8,612,2842,88.38
3,3450,2988,417.27
3,824,2987,376.6
4,2553,2988,398.99
1,2009,13,281.62
3,3641,2987,214.06
8,1565,1710,379.95
8,3260,678,286.52
4,1161,2988,164.84
10,1495,2368,218.26
10,494,106,358.33
9,782,2999,89.22
4,150,2988,215.28
10,2113,2586,248.24
6,910,572,496.76
6,1509,118,31.18
8,3939,686,365.66
5,2202,2982,86.35
6,683,1560,6.71
10,3171,1868,84.5
8,2165,1497,297.2
10,2792,2287,475.79
6,3693,2273,290.28
5,4966,2982,124.18
4,1308,2988,41.36
8,2800,2311,304.31
3,668,2987,19.71
10,4226,218,100.59
5,4993,2981,29.75
7,2988,1171,244.82
2,3661,2985,454.48
10,225,1485,186.44
4,2960,2988,465.45
9,1820,1612,120.41
1,3848,14,219.12
7,415,2878,379.86
5,768,2981,293.53
2,291,2985,308.99
1,4427,14,288.58
1,3601,15,255.04
9,555,2953,61.89
10,569,2516,91.63
10,679,1203,236.47
4,3685,2987,207.2
5,2418,2980,107.51
7,4085,1070,220.49
9,4480,2280,37.65
8,698,1641,442.51
2,1145,2984,310.49
4,4646,2986,460.2
3,3526,2986,34.04
8,2456,2539,467.52
6,1071,2061,65.28
4,4052,2985,167.71
9,330,1343,228.77
7,1221,1298,488.58
10,274,2718,103.24
10,3772,1082,333.13
6,158,1405,223.72
4,3327,2984,47.68
3,2486,2986,149.37
6,3911,1503,185.22
9,3592,1838,339.71
9,2794,460,267.88
10,828,540,54.5
2,915,2984,373.8
8,2460,984,363.99
10,1107,2931,19.94
4,1995,2984,354.22
3,4032,2985,59.3
5,573,2978,485.45
10,3067,2042,328.49
7,2718,1430,470.89
2,475,2983,119.12
7,3145,1878,108.76
6,2220,1202,149.23
1,703,16,391.05
6,4330,2517,416.95
2,205,2981,401.49
8,466,368,481.47
6,868,1559,168.55
8,4199,966,254.53
7,1663,2284,289.24
3,3059,2985,342.66
9,3344,2059,180.45
10,3146,447,429.33
10,4202,1610,271.15
6,817,2772,425.91
3,4528,2983,168.49
6,2227,1872,29.62
7,1300,2650,58.22
6,4140,2338,44.45
4,3633,2982,147.75
1,3763,17,128.2
5,2279,2977,85.77
6,1879,2679,491.79
6,3815,701,496.51
2,1163,2981,368.04
8,4279,2881,117.56
2,4919,2980,300.81
9,250,2825,282.44
8,4403,900,136.38
2,1844,2978,362.72
2,2667,2977,260.37
10,50,708,329.79
7,3668,256,440.64
10,841,396,133.72
3,2007,2983,186.92
9,185,1404,280.14
8,4728,367,301.58
3,887,2983,467.59
7,2276,2121,25.16
1,1829,17,485.42
6,3601,390,91.24
8,4327,94,428.93
10,1909,363,433.13
10,4815,1790,182.86
10,1423,2603,204.72
4,4101,2981,384.53
1,4666,17,65.22
6,4501,1094,470.47
4,447,2980,438.5
6,159,1719,87.07
6,2486,1018,443.1
8,3575,2176,223.48
1,1912,20,365.47
10,2726,1131,270.25
10,872,2116,359.22
8,1609,833,424.72
7,4266,1104,319.12
9,1427,2596,144.59
5,602,2977,166.61
10,4979,1127,281.76
9,969,80,133.69
10,199,903,76.14
6,2551,2597,241.9
7,1408,2137,334.64
4,175,2979,256.03
8,3973,570,107.57
9,1137,2463,241.95
6,2282,1408,189.64
9,170,2356,415.05
9,836,1960,267.22
5,1635,2976,20.46
1,4839,20,64.64
4,2264,2979,178.9
9,2705,430,504.79
2,2241,2975,498.21
9,3836,2816,336.26
5,2930,2975,43.22
8,4796,2647,420.89
6,3446,576,130.89
9,1028,1379,111.3
6,4229,1869,150.52
4,4112,2978,408.85
10,104,2525,260.86
10,323,154,343.9
4,1844,2978,155.97
9,4322,2289,50.52
1,225,21,496.21
2,1017,2974,123.77
5,203,2975,180.87
1,4027,22,445
2,3483,2973,31.58
10,3364,80,466.51
1,2053,23,445.76
3,625,2983,351.55
5,3831,2974,82.76
4,2245,2978,370.25
10,4861,1854,89.94
4,2388,2977,444.44
8,10,2385,450.34
8,1669,2061,472.8
3,4492,2982,321.68
1,2768,25,329.58
7,64,2133,384.28
6,4158,2755,276.32
10,2597,866,389.3
10,3832,45,264.75
3,3865,2981,369.38
1,3238,25,252.45
10,4946,1599,315.94
4,2631,2977,383.35
3,1287,2979,371.53
7,2469,2643,193.16
8,1103,2400,285.9
9,4660,2903,443.4
9,796,1442,204.28
5,2759,2974,11.98
4,298,2976,89.12
7,66,1312,297.85
5,701,2974,100.19
9,1112,2723,16.91
4,3263,2976,286.6
9,1004,2048,208.88
8,338,1971,112.64
6,3847,416,83.71
5,2802,2973,268.65
6,219,2964,436.16
9,81,1426,326.93
1,280,25,254.68
9,4232,1657,399.24
7,1315,26,54.59
7,972,2515,306.54
10,29,1823,404.02
8,1681,2324,438.4
9,1164,777,142.58
3,2335,2979,362.74
6,1749,1040,421.95
5,4983,2973,54.86
3,3269,2978,406.21
9,2333,2802,209.45
4,2986,2975,229.09
10,3421,2424,37.36
8,758,871,155.03
10,3746,949,289.94
9,215,697,111.79
6,4350,523,113.2
10,4298,1866,376.05
5,1116,2973,240.48
10,2592,2369,252.89
4,3732,2973,127.31
4,3611,2973,434.39
2,2363,2973,113.57
9,2644,2146,230.58
2,4097,2972,110.92
3,3085,2978,256.88
3,3033,2978,427.6
1,4131,26,309.95
10,1280,2739,160.96
4,1763,2973,440.74
6,1461,1416,14.07
8,416,1600,364.03
1,882,26,475.2
5,3855,2972,12.9
7,1982,474,80.62
1,2568,26,461.73
9,1086,2071,347.24
3,2357,2977,291.39
1,4456,26,219.86
7,184,2167,108.24
10,115,2587,126.66
10,1410,1924,473.65
4,2728,2972,354.88
1,4370,27,303.31
5,1877,2970,342.81
2,1183,2971,483.56
8,1608,2173,395.81
9,2688,1061,35.1
10,4506,312,404.86
5,2165,2970,10.13
2,4654,2970,340.24
9,2498,996,263.39
7,4364,2932,251.71
6,3960,2374,166.35
5,2097,2969,418.38
8,859,603,283.19
6,1376,548,74
6,4028,298,148.84
2,1161,2969,222.64
1,4298,28,71.52
8,973,107,292.73
2,1546,2969,29.8
4,4138,2972,344.51
1,4032,29,352.37
3,4188,2977,124.94
4,2489,2971,11.35
8,3724,1402,466.94
8,3281,2262,121.43
8,435,1010,387.97
4,4378,2971,221.47
4,1944,2967,273.24
5,3120,2969,70.18
4,1276,2967,118.44
8,3955,1053,448.5
8,1596,1874,192.27
8,4481,1701,306.71
2,3656,2969,116.35
4,1618,2964,345.12
1,1406,30,304.42
4,4061,2963,282.79
1,3234,30,21.21
7,603,10,466.94
2,776,2966,422.98
3,93,2976,418.12
2,3773,2966,294.79
8,3016,1841,297.83
5,1002,2968,242.49
5,3883,2967,38.22
4,4716,2963,178.34
9,2311,2780,315.61
7,2207,830,234.17
5,1882,2967,45.55
2,2458,2965,206.35
5,2015,2967,210.17
9,1694,92,367.49
4,4892,2963,261.49
1,2132,31,400.2
3,2835,2975,192.62
8,3434,673,233.31
3,1536,2974,441.7
3,2515,2974,504.35
8,803,2901,12.93
6,370,429,452.73
10,4270,2240,462.36
5,1043,2967,211.42
8,3494,337,401.28
7,4904,1470,191.87
7,3094,2436,487.11
6,1868,2420,50.11
2,3300,2965,446.64
8,1437,489,366.13
5,1127,2965,469.67
3,4299,2974,145.85
6,595,1830,420.99
7,3071,1999,202.29
10,2428,2577,419.16
9,1954,1893,60.91
9,3979,1570,243.55
2,3059,2965,370.89
6,2111,821,474.97
2,808,2964,318.77
9,798,1914,403.86
7,1077,2574,35.13
4,2161,2962,391.85
4,1619,2961,223.21
10,3428,58,77.82
10,4626,1907,478.81
2,4917,2964,162.66
4,897,2961,394.17
7,3930,200,103.7
1,1496,31,150.83
7,3701,2732,19.15
5,3811,2965,126.64
8,3352,2969,37.35
2,2608,2964,89.08
1,3626,32,360.78
1,735,33,286.46
8,495,1687,429.46
1,2468,34,346.69
2,2989,2962,486.34
10,4121,1323,254.8
10,902,1657,69.26
10,1992,2633,59.28
7,4732,2918,85.18
5,1531,2965,293.12
3,2779,2973,37.95
6,3964,1943,320.6
6,3740,2473,357.67
9,742,2265,490.43
10,1489,265,308.4
7,1166,1316,107.78
1,246,34,302.84
7,3054,118,368.68
6,4076,1285,116.2
7,4594,204,199.39
4,1627,2959,90.38
4,4736,2958,93.89
2,3801,2961,423.91
9,78,797,313.29
6,2326,2634,403.62
6,1946,919,399.64
4,1410,2957,182.29
7,4706,215,93.49
6,230,2889,51.12
7,4207,135,114.6
8,2181,2611,383.24
8,3067,245,359.68
8,2263,221,25.89
6,2142,2924,34.4
10,1326,1138,30.6
8,4114,2312,85.69
2,1361,2960,259.65
5,3055,2963,110.45
4,661,2956,175.82
9,4904,1267,172.45
7,4105,259,202.63
9,4366,766,121.34
8,3619,202,464.1
5,2850,2962,210.22
6,4868,1740,101.15
10,701,2927,33.57
1,1863,35,7.06
10,3343,31,403.72
1,121,36,42.02
9,2971,541,151.44
1,1276,36,63.79
8,2777,2526,164.93
7,3129,2056,377.96
10,1471,1138,80.75
10,426,2297,353.17
3,4217,2973,450.91
7,1099,917,60.4
7,1371,836,12.94
3,872,2972,366.2
5,478,2961,121.09
1,3902,37,170.8
7,4280,1409,259.08
5,976,2960,436.68
9,1717,622,150.04
1,807,37,132.92
9,4424,1360,127.24
5,1457,2959,161.83
7,4548,953,401.53
8,4704,2672,319.08
7,4725,2646,153.04
7,4426,2976,296.79
3,2441,2972,291.59
1,4137,39,136.51
10,2090,1002,366.4
9,3796,1018,451.34
8,4019,652,81.02
5,2246,2959,188.94
8,881,225,381.67
8,1542,835,221.68
10,105,1340,290.78
7,3519,2738,42.17
8,4383,1666,76.64
3,4399,2972,331.57
9,2653,1031,154.08
3,3819,2971,47.52
2,3348,2960,459.37
8,3659,1934,337.31
1,916,39,169.27
7,3727,2718,325.15
3,1871,2968,453.07
7,3700,1438,196.51
3,4712,2968,354.43
4,2151,2956,489.24
6,4607,1618,433.07
6,3287,2629,144.04
7,217,2922,5.48
8,3340,661,381.93
7,745,2155,405.93
3,606,2968,206.23
8,2346,1426,329.68
5,2384,2958,104.32
3,164,2967,44.16
1,3064,41,307.15
10,3712,1574,323.84
7,4478,2958,57.75
2,1969,2960,428.64
7,4028,2134,108.13
8,2591,1917,385.38
5,3982,2958,328.15
10,4937,2833,210.66
4,1734,2956,343.63
10,2746,956,284.54
6,2324,673,360.5
2,1091,2960,447.5
3,2590,2967,461.34
7,1250,295,265.74
4,87,2955,325.77
2,3494,2959,435.94
6,1155,1643,344.13
6,366,1001,426.44
9,4576,2152,295.13
2,4929,2959,416.77
1,2113,41,69.1
1,1901,41,428.56
6,2146,2654,165.99
4,3374,2955,23.01
3,3844,2966,391.37
1,1435,42,26.14
9,1763,930,450.27
5,2663,2957,343.65
10,4203,2669,246.11
5,2835,2957,33.02
4,2605,2953,303.53
8,1342,1490,106.68
4,1784,2952,63
1,1966,42,221.64
4,3795,2952,347.28
1,4849,42,424.85
2,1703,2959,73.17
8,4352,469,189.23
3,943,2965,135.43
4,4902,2952,345.05
3,4905,2965,379.72
8,4614,761,465.12
5,1366,2957,151.68
4,1964,2952,187.97
10,3977,1041,83.58
5,818,2956,266.14
5,4087,2956,324.14
8,3364,1092,329.58
1,850,42,410.98
6,2637,1146,416.25
2,1375,2959,386.2
7,740,1231,444.37
10,2982,2540,20.32
7,2581,532,87.58
2,1588,2959,242.45
6,3499,1349,7.69
4,3622,2951,423.95
5,3972,2955,414.4
2,333,2959,441.65
9,3263,1294,36.44
10,3546,1262,312.79
1,254,42,353.81
8,4445,1169,15.81
6,1630,2915,234.19
4,1932,2950,460.41
2,3834,2959,259.7
8,4928,1349,234.4
5,4726,2954,167.96
2,245,2958,350.69
10,125,1557,378.07
3,4619,2964,197.52
8,4598,59,271.65
10,655,2425,406.8
2,1868,2958,243.35
1,4048,42,272.34
4,3590,2949,254.13
6,2805,2572,66.81
5,939,2954,281.96
8,2235,2,231.32
10,1028,2462,122.57
2,4436,2957,251.67
4,4770,2948,432.43
3,4249,2964,442.89
6,807,1392,446.08
9,143,1494,358.69
4,1471,2947,370.87
8,4414,2850,412.59
1,3343,43,340.41
6,855,686,181.81
3,1444,2962,83.79
8,949,101,288.37
7,2019,2035,38.57
7,2953,278,336.61
4,1439,2947,46.58
7,1892,2843,166.38
4,2967,2947,282.29
9,2000,2453,65.1
5,2736,2954,152.34
3,382,2961,44.17
4,1084,2946,442
9,2996,638,414.82
3,1698,2960,489.65
5,2678,2954,343.7
3,746,2960,34.8
9,4430,88,442.82
8,3215,2419,113.02
3,4694,2959,70.82
3,2962,2958,24.69
6,3782,2047,362.02
5,3804,2953,280.42
7,962,1730,296.1
6,4615,1388,122.8
10,1875,1230,205.5
7,647,1818,224.48
8,4924,2567,447.69
2,4706,2956,328.29
2,2003,2955,148.12
2,2083,2955,468.78
1,1908,46,161.33
3,2331,2957,80.42
5,3310,2953,111.69
3,4062,2957,430.69
7,2450,550,241.97
3,2969,2956,271.63
8,3885,580,394.8
4,4437,2946,305.61
10,243,2677,198.06
5,988,2952,325.78
10,2760,2584,220.03
8,1239,91,186.62
1,1439,46,63.03
7,3401,1931,44.17
10,2288,7,381.23
1,3418,46,38.07
6,4117,402,157.91
9,4992,141,396.24
4,1237,2946,399.51
4,4552,2945,316.76
1,1302,47,105.15
6,3324,2704,81.56
1,3169,48,195.87
4,4208,2944,139.48
8,1231,518,161.12
1,4909,48,332.93
4,3581,2944,226.73
3,2401,2955,433.79
7,2544,1386,148.71
2,1068,2954,170.67
3,6,2955,168.91
2,41,2953,19.36
4,398,2943,312.4
1,888,49,443.21
10,3305,1106,84.33
10,2116,1198,191.49
6,2084,1315,220.43
7,3807,1233,393.9
10,4336,967,124.72
9,2217,1589,418.64
4,2015,2942,227.1
7,4083,19,362.65
7,1044,1690,163.18
7,4841,505,487.58
10,2571,221,151.54
7,2348,338,36.36
9,3881,47,153.76
1,510,50,389.35
7,3318,219,271.95
9,1667,398,402.59
9,1023,1228,186.19
7,2254,977,140.15
5,1989,2952,103.13
10,491,1205,129.4
10,4053,1036,213.5
6,292,1585,158.08
8,1616,2605,347.88
10,3462,550,250.17
7,3908,582,408.01
9,1899,443,7
9,567,2460,337.14
5,2921,2950,391.53
4,4410,2942,185.17
9,3962,1655,340.59
2,96,2952,286.08
7,2023,758,307.25
7,433,2880,275.52
3,2115,2954,322.15
4,4795,2941,402.98
5,3685,2949,46.91
8,1417,801,295.89
9,4255,46,487.17
5,3172,2949,58
7,4488,684,109.37
7,4754,1397,320.95
8,3674,1492,355.5
5,4179,2949,310.35
6,821,1106,434.91
10,4234,2643,296.82
9,4599,2498,362.54
5,3785,2949,179.27
6,2913,309,17.17
1,3436,51,123.68
6,3056,2025,306.44
2,2679,2951,24.44
7,3052,171,337.57
9,2197,1566,129.24
9,492,2189,403.38
3,2327,2954,482.83
2,4911,2951,483.38
7,2199,2372,80.46
8,3402,868,182.3
8,4200,383,448.9
5,4743,2948,262.64
1,3854,51,37.5
4,1071,2941,197
8,2034,1334,403.35
1,1900,52,457.06
10,3218,2958,207.68
3,1919,2954,317.09
4,1052,2939,49.96
8,1639,840,469.63
4,4478,2939,11.74
5,3568,2947,454.76
5,2032,2945,169.46
9,2675,364,314.22
9,4082,181,339.9
1,1357,53,54.44
5,4059,2944,288.04
5,522,2944,280.51
5,3911,2944,66.47
6,2729,315,391.42
7,419,2268,288.52
1,541,56,48.68
1,1534,57,248.25
1,3386,57,483.03
7,487,459,437.44
1,687,59,418.1
5,4297,2943,482.79
6,3027,2883,493.8
2,1972,2951,392.3
8,1641,2378,390.41
9,301,1876,113.57
10,1347,370,207.08
10,916,462,135.11
1,2562,60,305.53
2,1395,2950,426.09
7,4007,2635,235.79
6,4719,620,461.29
9,634,2535,222.14
3,1089,2953,245.27
5,193,2942,401.1
10,1946,1906,212.74
5,4241,2941,456.19
10,4526,2799,356.72
10,1418,2152,180.05
2,1961,2950,301.18
7,3732,1060,473.8
3,31,2951,263.79
4,162,2939,190.31
3,1682,2949,36.09
9,54,1419,272.28
1,4608,60,149
10,1868,1946,384.4
8,2282,1204,291.62
7,3682,316,399.35
8,971,43,484.06
4,432,2939,116.01
8,3404,47,231.89
8,2248,2990,301.94
7,183,1026,44.61
7,4279,1467,235.1
8,1969,1165,198.73
7,3855,1460,349.79
10,1334,1689,486.1
10,2112,2468,458.92
5,18,2941,29.97
3,1874,2947,49.24
10,3022,468,330.92
8,4801,2855,29.49
8,4584,690,461.13
7,812,1003,363.46
2,4661,2949,198.58
3,524,2946,61.24
9,4453,2775,101.47
1,18,60,14.07
1,1318,61,471.75
4,4884,2939,219.67
4,4859,2937,198.33
6,197,2662,301.24
1,2581,61,230
10,846,1995,86.25
1,4609,61,226.18
5,2312,2940,328.6
3,3016,2946,130.67
5,3108,2940,437.54
10,3044,2585,172.98
3,2044,2946,402.15
1,4453,62,195.52
6,1586,692,453.91
1,4127,63,288.02
3,3424,2945,492.42
7,4215,2737,379.2
6,1098,2088,102.92
10,4308,2856,192.52
3,1525,2944,452.59
6,2576,1599,173.55
3,745,2943,496.67
1,3361,63,145.04
3,57,2942,396.36
4,4726,2937,305.75
4,1816,2936,225.45
6,2975,2210,298.77
8,4244,2630,192.94
7,3459,1592,386.54
5,3421,2939,470.86
9,2949,1423,194.71
7,4190,9,237.79
4,4728,2936,415.52
3,3766,2942,9.68
7,3621,964,204.48
1,3242,63,235.18
10,2007,349,72.08
7,2970,146,333.24
2,2417,2949,367.7
9,902,1938,93.41
7,4897,1405,302.09
8,2582,1136,50.5
3,1537,2942,337.93
8,3141,1004,236.17
9,3653,2836,109.57
6,1179,1466,438.06
4,1586,2936,504.95
10,4340,62,217.82
8,1946,1350,7.39
3,2449,2941,135.03
7,3468,1671,389.15
10,3741,606,431.55
8,4472,892,457.12
3,403,2940,250.02
10,4996,1167,362
7,4945,49,31.41
2,1119,2948,442.16
8,1950,2104,228.89
4,3711,2936,150.27
7,3838,650,393.89
6,3855,2070,376.7
7,3658,1677,100.56
2,2701,2947,242.87
10,411,787,320.77
5,4369,2939,213.68
9,2492,824,346.5
1,2047,64,43.98
1,1174,65,413.95
5,4243,2938,26.06
1,1528,65,274.72
2,2013,2946,236.08
8,1694,1500,168.27
6,4625,404,395.59
3,3125,2938,448.98
10,2917,1278,224.53
6,3998,1370,118.18
5,1004,2938,254.6
1,2017,65,433.04
5,3853,2938,192.1
7,4137,2852,466.55
9,3440,2958,70.02
3,526,2937,100.26
3,2865,2937,125.89
1,4408,67,45.77
6,3877,1021,105.6
7,3645,1767,94.66
4,3170,2936,299.72
3,4310,2937,146
5,4104,2937,492.38
5,4855,2936,78.68
1,1148,69,300.72
6,1346,2212,114.55
1,4224,69,107.14
2,4064,2945,489.21
7,448,2410,487.41
6,4664,243,329.46
10,3246,543,185.83
1,1834,69,43.82
6,1970,596,303.28
10,1645,777,318.07
7,4662,495,292.95
9,2499,131,220.67
7,622,1653,21.89
9,806,2419,121
1,3950,71,338.36
7,2206,143,408.47
8,2338,1286,39.09
8,2044,1307,447.69
2,1878,2945,111.97
8,1828,125,274.31
4,374,2935,249.31
7,1568,1687,384.93
9,411,1880,270
4,954,2935,411.43
5,3851,2936,307.75
5,3443,2935,14.52
4,2953,2935,481.41
5,3337,2934,300.97
3,2889,2936,235.36
8,2172,1779,259.54
8,4380,112,485.87
10,648,1327,439.73
2,4941,2944,178.28
3,1863,2936,379.7
6,3583,2077,439.14
2,1410,2944,58.45
4,4526,2935,41.39
1,833,72,495.15
5,3166,2934,458.3
9,3972,359,409.3
8,2509,2986,406.79
2,2183,2943,172.72
7,12,59,355.78
5,3961,2932,45.82
10,1317,2599,477.5
2,3725,2942,144.72
8,2905,1551,353.01
8,3898,53,301.13
9,4792,2165,50.19
9,2640,1061,27.65
2,1892,2942,393.43
2,788,2941,92.25
7,1735,2081,69.57
7,3441,619,89.77
4,783,2933,450.49
10,292,1075,46.38
10,1857,2989,242.11
10,3768,1733,197.82
8,1530,2412,318.4
9,2440,324,15.71
1,2115,72,17.95
7,3422,571,280.42
4,1312,2933,171.49
2,4535,2941,110.9
3,2893,2935,388.87
8,2087,552,494.92
5,4941,2932,238.7
9,4072,728,391.35
7,1654,2142,199.36
10,1960,1470,449.9
9,4210,1173,54.2
9,1585,965,39.6
1,3984,73,20.49
3,3407,2935,495.66
2,2793,2941,443.05
7,1561,1648,315.02
9,4868,1129,418.21
4,3603,2933,464.46
4,196,2933,410.08
4,1547,2930,151.32
3,1723,2935,350.08
3,1337,2933,11.54
9,3849,70,356.15
9,2643,849,38.33
4,2613,2930,351.22
6,2031,1061,475.26
3,1727,2932,446.07
5,726,2932,224.2
7,1266,2368,137.63
2,4524,2939,237
4,3726,2930,164.01
3,3782,2931,154.52
3,2816,2930,222.88
1,306,73,103.48
6,464,1403,356.45
10,4927,731,110.12
4,4043,2928,25.96
1,1859,73,390.43
7,215,953,121.99
10,687,959,63.74
3,3855,2930,476.74
6,2202,1885,331.83
9,166,1535,64.52
1,265,73,357.58
2,3382,2939,85.46
1,4084,74,494.55
3,1179,2930,168.62
2,3782,2938,136.28
5,1173,2930,430.12
6,1920,2833,451.08
8,1893,2411,347.82
3,4704,2928,303.2
5,3392,2930,503.8
1,384,75,436.49
9,4959,2624,290.86
4,1544,2927,337.88
4,1854,2927,221.09
5,3696,2930,46.18
2,3123,2938,136.28
8,1256,1539,444.28
10,4623,2427,292.01
10,2483,2316,180.09
6,4482,1828,135.65
7,3526,967,39.95
9,4947,2340,379.07
10,3458,2100,6.99
4,654,2925,243.24
8,2775,1171,150
4,3174,2925,441.94
10,4167,1037,419.69
4,2652,2925,379.27
1,442,75,246.78
7,3874,1984,165.33
5,474,2930,422
6,1149,631,441.61
10,4741,2093,19.63
7,4374,861,369.93
6,2392,2866,143.36
8,3225,1347,214.3
1,2133,76,504.71
6,4565,537,136.88
9,1984,2562,451.07
1,2908,77,139.54
9,239,1095,24.34
2,4401,2938,384.1
6,3735,32,94.98
5,27,2929,345.2
5,2699,2929,223.01
10,4084,267,431.23
7,2304,894,183.23
10,778,2730,40.23
2,4823,2936,168.01
2,2299,2936,503.17
8,522,655,224.23
3,2373,2928,290.34
5,4676,2929,178.21
3,913,2927,459.99
10,4125,2021,143.04
2,1949,2935,84.65
2,1630,2935,283.47
10,230,1307,429.42
4,4749,2925,220.42
5,1540,2929,105.78
9,1141,1767,115.97
1,128,78,351.72
9,379,2453,487.85
8,1840,1691,148.31
7,3217,111,118.07
1,3008,78,414.33
2,4289,2935,252.09
2,3975,2934,302.65
9,4654,1699,102.78
8,4260,204,467
6,4142,1001,233.36
7,1378,2359,428.12
6,796,2922,440.99
9,4641,673,422.37
5,1440,2928,504.69
8,3111,1803,96.77
5,2689,2927,431.16
4,4377,2924,467.87
6,3794,1774,65.55
4,726,2924,111.69
4,3862,2923,147.52
10,945,1917,176.07
8,1689,2155,428.05
9,4814,765,358.74
10,17,791,396.36
9,134,2115,450.27
10,4607,2197,136.78
9,3601,259,454.82
1,4638,79,195.55
7,1887,919,211.73
3,4350,2927,317.51
